順位,名前(ターゲット内表記),フルネーム(JRA-VANデータ内表記),読み(半角仮名/欧字),欧字表記名,所属,年齢,誕生日,免許取得年,キャリア,本年着度数,1着数,2着数,3着数,着外数,総数,勝率,連対率,複勝率,前年着度数,前年1着,前年2着,前年3着,前年着外,前年総数,前年勝率,前年連対率,前年複勝率,生涯着度数,生涯1着,生涯2着,生涯3着,生涯着外,生涯総数,生涯勝率,生涯連対率,生涯複勝率,コード,現役・抹消,チェック,勝数前年比,総レース数前年比,コメント,本年順位(平地),前年順位(平地)
70,森一馬　,"森 一馬","ﾓﾘ ｶｽﾞﾏ","Kazuma Mori",栗東,32,1993. 3.13,2011,16,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,149-145-115-1479(1888),149,145,115,1479,1888,7.9,15.6,21.7,01139,現役,0,,,,,
71,幸英明　,"幸 英明","ﾐﾕｷ ﾋﾃﾞｱｷ","Hideaki Miyuki",栗東,50,1976. 1.12,1994,33,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 40- 38- 35-465(578)",40,38,35,465,578,6.9,13.5,19.6,1742-1926-2059-19211(24938),1742,1926,2059,19211,24938,7.0,14.7,23.0,00732,現役,0,0.0,0.0,,,25
72,松若風馬,"松若 風馬","ﾏﾂﾜｶ ﾌｳﾏ","Fuma Matsuwaka",栗東,30,1995. 9. 4,2014,13,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 24- 33- 39-423(519)",24,33,39,423,519,4.6,11.0,18.5,500-508-511-6199(7718),500,508,511,6199,7718,6.5,13.1,19.7,01154,現役,0,0.0,0.0,,,43
73,松山弘平,"松山 弘平","ﾏﾂﾔﾏ ｺｳﾍｲ","Kohei Matsuyama",栗東,36,1990. 3. 1,2009,18,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"128- 99- 70-539(836)",128,99,70,539,836,15.3,27.2,35.5,1366-1250-1104-9937(13657),1366,1250,1104,9937,13657,10.0,19.2,27.2,01126,現役,0,0.0,0.0,,,3
74,松本大輝,"松本 大輝","ﾏﾂﾓﾄ ﾋﾛｷ","Hiroki Matsumoto",栗東,23,2002.10.11,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 24- 15- 13-297(349)",24,15,13,297,349,6.9,11.2,14.9," 91- 81- 92-1488(1752)",91,81,92,1488,1752,5.2,9.8,15.1,01191,現役,0,0.0,0.0,,,45
75,古川吉洋,"古川 吉洋","ﾌﾙｶﾜ ﾖｼﾋﾛ","Yoshihiro Furukawa",栗東,48,1977. 9.26,1996,31,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 27- 27- 29-400(483)",27,27,29,400,483,5.6,11.2,17.2,597-710-731-9644(11682),597,710,731,9644,11682,5.1,11.2,17.4,01015,現役,0,0.0,0.0,,,40
76,古川奈穂,"古川 奈穂","ﾌﾙｶﾜ ﾅﾎ","Naho Furukawa",栗東,25,2000. 9.13,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 14- 21- 13-257(305)",14,21,13,257,305,4.6,11.5,15.7," 65- 77- 47-959(1148)",65,77,47,959,1148,5.7,12.4,16.5,01190,現役,0,0.0,0.0,,,67
77,藤懸貴志,"藤懸 貴志","ﾌｼﾞｶｹ ﾀｶｼ","Takashi Fujikake",栗東,33,1993. 2.25,2011,16,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7- 13- 16-252(288)",7,13,16,252,288,2.4,6.9,12.5,156-177-218-3771(4322),156,177,218,3771,4322,3.6,7.7,12.7,01138,現役,0,0.0,0.0,,,86
78,藤岡佑介,"藤岡 佑介","ﾌｼﾞｵｶ ﾕｳｽｹ","Yusuke Fujioka",栗東,39,1986. 3.17,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 49- 38- 33-239(359)",49,38,33,239,359,13.6,24.2,33.4,1103-1085-1067-9034(12289),1103,1085,1067,9034,12289,9.0,17.8,26.5,01093,現役,0,0.0,0.0,,,22
79,菱田裕二,"菱田 裕二","ﾋｼﾀﾞ ﾕｳｼﾞ","Yuji Hishida",栗東,33,1992. 9.26,2012,15,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 23- 26- 35-449(533)",23,26,35,449,533,4.3,9.2,15.8,519-519-525-6384(7947),519,519,525,6384,7947,6.5,13.1,19.7,01144,現役,0,0.0,0.0,,,47
80,浜中俊　,"浜中 俊","ﾊﾏﾅｶ ｽｸﾞﾙ","Suguru Hamanaka",栗東,37,1988.12.25,2007,20,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 33- 34- 34-247(348)",33,34,34,247,348,9.5,19.3,29.0,1241-1194-1084-8042(11561),1241,1194,1084,8042,11561,10.7,21.1,30.4,01115,現役,0,0.0,0.0,,,35
81,橋木太希,"橋木 太希","ﾊｼｷ ﾀｲｷ","Taiki Hashiki",栗東,19,2006. 3.27,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  2-  3-  7-169(181)",2,3,7,169,181,1.1,2.8,6.6,"  3-  9- 12-272(296)",3,9,12,272,296,1.0,4.1,8.1,01215,現役,0,0.0,0.0,,,115
82,西村淳也,"西村 淳也","ﾆｼﾑﾗ ｱﾂﾔ","Atsuya Nishimura",栗東,26,1999. 7.30,2018,9,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 49- 50- 49-312(460)",49,50,49,312,460,10.7,21.5,32.2,447-475-463-3795(5180),447,475,463,3795,5180,8.6,17.8,26.7,01171,現役,0,0.0,0.0,,,21
83,西塚洸二,"西塚 洸二","ﾆｼﾂﾞｶ ｺｳｼﾞ","Koji Nishizuka",栗東,21,2004. 3. 9,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 23- 27- 17-331(398)",23,27,17,331,398,5.8,12.6,16.8," 93- 91- 75-1261(1520)",93,91,75,1261,1520,6.1,12.1,17.0,01200,現役,0,0.0,0.0,,,46
84,西谷誠　,"西谷 誠","ﾆｼﾀﾆ ﾏｺﾄ","Makoto Nishitani",栗東,49,1976.10.15,1995,32,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,225-184-167-1380(1956),225,184,167,1380,1956,11.5,20.9,29.4,01005,現役,0,,,,,
85,難波剛健,"難波 剛健","ﾅﾝﾊﾞ ﾖｼﾔｽ","Yoshiyasu Namba",栗東,43,1982.11. 1,2001,26,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,134-135-182-2029(2480),134,135,182,2029,2480,5.4,10.8,18.2,01066,現役,0,,0.0,,,146
86,中村将之,"中村 将之","ﾅｶﾑﾗ ﾏｻﾕｷ","Masayuki Nakamura",栗東,39,1986.10. 9,2005,22,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,151-211-200-2572(3134),151,211,200,2572,3134,4.8,11.6,17.9,01101,現役,0,,,,,
87,永島まな,"永島 まなみ","ﾅｶﾞｼﾏ ﾏﾅﾐ","Manami Nagashima",栗東,23,2002.10.27,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 19- 15- 23-410(467)",19,15,23,410,467,4.1,7.3,12.2,129-111-122-2116(2478),129,111,122,2116,2478,5.2,9.7,14.6,01187,現役,0,0.0,0.0,,,57
88,長岡禎仁,"長岡 禎仁","ﾅｶﾞｵｶ ﾖｼﾋﾄ","Yoshihito Nagaoka",栗東,32,1993. 9.25,2012,15,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  9- 13- 18-240(280)",9,13,18,240,280,3.2,7.9,14.3,112-116-133-2725(3086),112,116,133,2725,3086,3.6,7.4,11.7,01142,現役,0,0.0,0.0,,,82
89,中井裕二,"中井 裕二","ﾅｶｲ ﾕｳｼﾞ","Yuji Nakai",栗東,32,1993. 6.25,2012,15,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7- 11- 13-199(230)",7,11,13,199,230,3.0,7.8,13.5,171-198-228-3428(4025),171,198,228,3428,4025,4.2,9.2,14.8,01141,現役,0,0.0,0.0,,,87
90,富田暁　,"富田 暁","ﾄﾐﾀ ｱｶﾂｷ","Akatsuki Tomita",栗東,29,1996.12.11,2017,10,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 13- 17- 19-197(246)",13,17,19,197,246,5.3,12.2,19.9,204-218-256-3488(4166),204,218,256,3488,4166,4.9,10.1,16.3,01168,現役,0,0.0,0.0,,,71
91,Ｍ．デム,Ｍ．デムーロ,ﾃﾞﾑｰﾛ.ﾐﾙｺ,"Mirco Demuro",栗東,47,1979. 1.11,2015,12,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 14- 14- 17-207(252)",14,14,17,207,252,5.6,11.1,17.9,1331-1082-940-5232(8585),1331,1082,940,5232,8585,15.5,28.1,39.1,05212,現役,0,0.0,0.0,,,69
92,角田大和,"角田 大和","ﾂﾉﾀﾞ ﾔﾏﾄ","Yamato Tsunoda",栗東,24,2001. 9. 3,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 18- 24- 26-318(386)",18,24,26,318,386,4.7,10.9,17.6,125-157-164-1926(2372),125,157,164,1926,2372,5.3,11.9,18.8,01186,現役,0,0.0,0.0,,,58
93,団野大成,"団野 大成","ﾀﾞﾝﾉ ﾀｲｾｲ","Taisei Danno",栗東,25,2000. 6.22,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 68- 71- 59-529(727)",68,71,59,529,727,9.4,19.1,27.2,352-413-376-3566(4707),352,413,376,3566,4707,7.5,16.3,24.2,01180,現役,0,0.0,0.0,,,14
94,田山旺佑,"田山 旺佑","ﾀﾔﾏ ｵｳｽｹ","Osuke Tayama",栗東,19,2006. 7.20,2025,2,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 16- 10- 19-300(345)",16,10,19,300,345,4.6,7.5,13.0," 16- 10- 19-300(345)",16,10,19,300,345,4.6,7.5,13.0,01220,現役,0,0.0,0.0,,,66
95,田村太雅,"田村 太雅","ﾀﾑﾗ ﾀｲｶﾞ","Taiga Tamura",栗東,40,1986. 1.16,2006,21,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  2(  2)",0,0,0,2,2,0.0,0.0,0.0," 34- 55- 60-1121(1270)",34,55,60,1121,1270,2.7,7.0,11.7,01105,現役,0,,0.0,,,159
96,太宰啓介,"太宰 啓介","ﾀﾞｻﾞｲ ｹｲｽｹ","Keisuke Dazai",栗東,46,1979. 4.22,1998,29,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  6- 12- 13-180(211)",6,12,13,180,211,2.8,8.5,14.7,598-645-766-10258(12267),598,645,766,10258,12267,4.9,10.1,16.4,01037,現役,0,0.0,0.0,,,90
97,武豊　　,"武 豊","ﾀｹ ﾕﾀｶ","Yutaka Take",栗東,56,1969. 3.15,1987,40,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 72- 73- 68-362(575)",72,73,68,362,575,12.5,25.2,37.0,4625-3518-2834-14489(25466),4625,3518,2834,14489,25466,18.2,32.0,43.1,00666,現役,0,0.0,0.0,,,13
98,田口貫太,"田口 貫太","ﾀｸﾞﾁ ｶﾝﾀ","Kanta Taguchi",栗東,22,2003.12.10,2023,4,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 36- 57- 56-626(775)",36,57,56,626,775,4.6,12.0,19.2,111-146-143-1759(2159),111,146,143,1759,2159,5.1,11.9,18.5,01208,現役,0,0.0,0.0,,,31
99,高田潤　,"高田 潤","ﾀｶﾀﾞ ｼﾞｭﾝ","Jun Takada",栗東,45,1980.11. 3,1999,28,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0,223-175-153-1914(2465),223,175,153,1914,2465,9.0,16.1,22.4,01046,現役,0,,0.0,,,168
100,高杉吏麒,"高杉 吏麒","ﾀｶｽｷﾞ ﾘｷ","Riki Takasugi",栗東,20,2005. 9.28,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 74- 71- 91-603(839)",74,71,91,603,839,8.8,17.3,28.1,"122- 95-113-965(1295)",122,95,113,965,1295,9.4,16.8,25.5,01213,現役,0,0.0,0.0,,,11
101,高倉稜　,"高倉 稜","ﾀｶｸﾗ ﾘｮｳ","Ryo Takakura",栗東,34,1991. 9. 4,2010,17,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  8-  9-  6-154(177)",8,9,6,154,177,4.5,9.6,13.0,260-275-289-5524(6348),260,275,289,5524,6348,4.1,8.4,13.0,01130,現役,0,0.0,0.0,,,84
102,柴田裕一,"柴田 裕一郎","ｼﾊﾞﾀ ﾕｳｲﾁﾛｳ","Yuichiro Shibata",栗東,20,2005. 5.20,2024,3,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 10- 17- 14-329(370)",10,17,14,329,370,2.7,7.3,11.1," 29- 30- 29-603(691)",29,30,29,603,691,4.2,8.5,12.7,01212,現役,0,0.0,0.0,,,79
103,鮫島良太,"鮫島 良太","ｻﾒｼﾏ ﾘｮｳﾀ","Ryota Sameshima",栗東,39,1987. 2. 4,2005,22,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  9-  4- 89(103)",1,9,4,89,103,1.0,9.7,13.6,313-358-364-5361(6396),313,358,364,5361,6396,4.9,10.5,16.2,01099,現役,0,0.0,0.0,,,120
104,鮫島克駿,"鮫島 克駿","ｻﾒｼﾏ ｶﾂﾏ","Katsuma Sameshima",栗東,29,1996.10.18,2015,12,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 67- 69- 73-578(787)",67,69,73,578,787,8.5,17.3,26.6,597-651-648-5837(7733),597,651,648,5837,7733,7.7,16.1,24.5,01157,現役,0,0.0,0.0,,,15
105,坂井瑠星,"坂井 瑠星","ｻｶｲ ﾘｭｳｾｲ","Ryusei Sakai",栗東,28,1997. 5.31,2016,11,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"110- 79- 75-426(690)",110,79,75,426,690,15.9,27.4,38.3,626-549-514-4089(5778),626,549,514,4089,5778,10.8,20.3,29.2,01163,現役,0,0.0,0.0,,,5
106,酒井学　,"酒井 学","ｻｶｲ ﾏﾅﾌﾞ","Manabu Sakai",栗東,46,1980. 2. 4,1998,29,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 14- 15- 18-370(417)",14,15,18,370,417,3.4,7.0,11.3,455-530-611-9045(10641),455,530,611,9045,10641,4.3,9.3,15.0,01034,現役,0,0.0,0.0,,,68
107,斎藤新　,"斎藤 新","ｻｲﾄｳ ｱﾗﾀ","Arata Saito",栗東,25,2001. 2. 9,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 38- 43- 32-512(625)",38,43,32,512,625,6.1,13.0,18.1,244-259-250-3279(4032),244,259,250,3279,4032,6.1,12.5,18.7,01178,現役,0,0.0,0.0,,,26
108,小牧加矢,"小牧 加矢太","ｺﾏｷ ｶﾔﾀ","Kayata Komaki",栗東,29,1996.12.24,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 51- 53- 49-222(375)",51,53,49,222,375,13.6,27.7,40.8,01196,現役,0,,,,,
109,小崎綾也,"小崎 綾也","ｺｻﾞｷ ﾘｮｳﾔ","Ryoya Kozaki",栗東,30,1995. 5.13,2014,13,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 16- 17- 23-290(346)",16,17,23,290,346,4.6,9.5,16.2,157-179-205-2963(3504),157,179,205,2963,3504,4.5,9.6,15.4,01152,現役,0,0.0,0.0,,,63
110,小坂忠士,"小坂 忠士","ｺｻｶ ﾀﾀﾞｼ","Tadashi Kosaka",栗東,43,1983. 2. 7,2001,26,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  1(  1)",0,0,0,1,1,0.0,0.0,0.0,177-227-227-2782(3413),177,227,227,2782,3413,5.2,11.8,18.5,01063,現役,0,,0.0,,,146
111,国分優作,"国分 優作","ｺｸﾌﾞﾝ ﾕｳｻｸ","Yusaku Kokubun",栗東,35,1990.12.27,2009,18,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7- 10- 10-242(269)",7,10,10,242,269,2.6,6.3,10.0,250-308-374-6533(7465),250,308,374,6533,7465,3.3,7.5,12.5,01125,現役,0,0.0,0.0,,,88
112,国分恭介,"国分 恭介","ｺｸﾌﾞﾝ ｷｮｳｽｹ","Kyosuke Kokubun",栗東,35,1990.12.27,2009,18,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 16- 30- 16-212(274)",16,30,16,212,274,5.8,16.8,22.6,332-398-543-7114(8387),332,398,543,7114,8387,4.0,8.7,15.2,01124,現役,0,0.0,0.0,,,62
113,黒岩悠　,"黒岩 悠","ｸﾛｲﾜ ﾕｳ","Yu Kuroiwa",栗東,42,1983.10.26,2002,25,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  5(  5)",0,0,0,5,5,0.0,0.0,0.0," 78- 62-101-1579(1820)",78,62,101,1579,1820,4.3,7.7,13.2,01072,現役,0,,0.0,,,179
114,城戸義政,"城戸 義政","ｷﾄﾞ ﾖｼﾏｻ","Yoshimasa Kido",栗東,32,1994. 1.29,2013,14,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  4-  1-110(116)",1,4,1,110,116,0.9,4.3,5.2," 92-135-123-2681(3031)",92,135,123,2681,3031,3.0,7.5,11.5,01147,現役,0,0.0,0.0,,,121
115,北村友一,"北村 友一","ｷﾀﾑﾗ ﾕｳｲﾁ","Yuichi Kitamura",栗東,39,1986.10. 3,2006,21,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 73- 65- 42-414(594)",73,65,42,414,594,12.3,23.2,30.3,992-960-949-8378(11279),992,960,949,8378,11279,8.8,17.3,25.7,01102,現役,0,0.0,0.0,,,12
116,川又賢治,"川又 賢治","ｶﾜﾏﾀ ｹﾝｼﾞ","Kenji Kawamata",栗東,28,1997.11.19,2017,10,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  7-  9- 11-187(214)",7,9,11,187,214,3.3,7.5,12.6,125-131-158-2136(2550),125,131,158,2136,2550,4.9,10.0,16.2,01166,現役,0,0.0,0.0,,,89
117,河原田菜,"河原田 菜々","ｶﾜﾊﾗﾀﾞ ﾅﾅ","Nana Kawaharada",栗東,21,2004.11.13,2023,4,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  6-  6-258(274)",4,6,6,258,274,1.5,3.6,5.8," 24- 32- 37-887(980)",24,32,37,887,980,2.4,5.7,9.5,01204,現役,0,0.0,0.0,,,103
118,川端海翼,"川端 海翼","ｶﾜﾊﾞﾀ ｶｲﾄ","Kaito Kawabata",栗東,22,2003. 9.18,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3- 10-  8-232(253)",3,10,8,232,253,1.2,5.1,8.3," 19- 27- 31-742(819)",19,27,31,742,819,2.3,5.6,9.4,01195,現役,0,0.0,0.0,,,108
119,川田将雅,"川田 将雅","ｶﾜﾀﾞ ﾕｳｶﾞ","Yuga Kawada",栗東,40,1985.10.15,2004,23,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"105-103- 65-234(507)",105,103,65,234,507,20.7,41.0,53.8,2223-1696-1392-7786(13097),2223,1696,1392,7786,13097,17.0,29.9,40.6,01088,現役,0,0.0,0.0,,,6
120,川須栄彦,"川須 栄彦","ｶﾜｽ ﾊﾙﾋｺ","Haruhiko Kawasu",栗東,34,1991.11. 9,2010,17,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  4-  9- 11-205(229)",4,9,11,205,229,1.7,5.7,10.5,416-411-452-5976(7255),416,411,452,5976,7255,5.7,11.4,17.6,01128,現役,0,0.0,0.0,,,101
121,亀田温心,"亀田 温心","ｶﾒﾀﾞ ﾊｰﾄ","Heart Kameda",栗東,25,2001. 2. 4,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 18- 13- 14-238(283)",18,13,14,238,283,6.4,11.0,15.9,147-156-155-2424(2882),147,156,155,2424,2882,5.1,10.5,15.9,01176,現役,0,0.0,0.0,,,61
122,加藤祥太,"加藤 祥太","ｶﾄｳ ｼｮｳﾀ","Shota Kato",栗東,28,1997. 3. 8,2015,12,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  3-  5-  2- 76( 86)",3,5,2,76,86,3.5,9.3,11.6,122-126-144-2519(2911),122,126,144,2519,2911,4.2,8.5,13.5,01156,現役,0,0.0,0.0,,,110
123,小野寺祐,"小野寺 祐太","ｵﾉﾃﾞﾗ ﾕｳﾀ","Yuta Onodera",栗東,35,1990. 3.12,2009,18,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0-  3(  3)",0,0,0,3,3,0.0,0.0,0.0," 64- 76-108-1767(2015)",64,76,108,1767,2015,3.2,6.9,12.3,01123,現役,0,,0.0,,,168
124,小沢大仁,"小沢 大仁","ｵｻﾞﾜ ﾀﾞｲﾄ","Daito Ozawa",栗東,23,2003. 1. 4,2021,6,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 32- 35- 48-528(643)",32,35,48,528,643,5.0,10.4,17.9,126-136-157-2421(2840),126,136,157,2421,2840,4.4,9.2,14.8,01185,現役,0,0.0,0.0,,,36
125,荻野琢真,"荻野 琢真","ｵｷﾞﾉ ﾀｸﾏ","Takuma Ogino",栗東,37,1988. 7.28,2007,20,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  5-  6-  3-188(202)",5,6,3,188,202,2.5,5.4,6.9,150-167-189-3330(3836),150,167,189,3330,3836,3.9,8.3,13.2,01112,現役,0,0.0,0.0,,,98
126,荻野極　,"荻野 極","ｵｷﾞﾉ ｷﾜﾑ","Kiwamu Ogino",栗東,28,1997. 9.23,2016,11,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 62- 57- 55-461(635)",62,57,55,461,635,9.8,18.7,27.4,288-267-294-3787(4636),288,267,294,3787,4636,6.2,12.0,18.3,01160,現役,0,0.0,0.0,,,18
127,岡田祥嗣,"岡田 祥嗣","ｵｶﾀﾞ ﾖｼﾂｸﾞ","Yoshitsugu Okada",栗東,54,1971.10.16,2013,14,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  0- 20( 20)",0,0,0,20,20,0.0,0.0,0.0," 45- 52- 58-1336(1491)",45,52,58,1336,1491,3.0,6.5,10.4,05429,現役,0,,0.0,,,185
128,大久保友,"大久保 友雅","ｵｵｸﾎﾞ ﾕｳｶﾞ","Yuga Okubo",栗東,22,2003. 6. 1,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  1-  1-  1- 23( 26)",1,1,1,23,26,3.8,7.7,11.5,"  4-  6-  8-291(309)",4,6,8,291,309,1.3,3.2,5.8,01194,現役,0,0.0,0.0,,,126
129,岩田康誠,"岩田 康誠","ｲﾜﾀ ﾔｽﾅﾘ","Yasunari Iwata",栗東,51,1974. 3.12,2006,21,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 43- 44- 41-374(502)",43,44,41,374,502,8.6,17.3,25.5,1850-1774-1701-10724(16049),1850,1774,1701,10724,16049,11.5,22.6,33.2,05203,現役,0,0.0,0.0,,,23
130,岩田望来,"岩田 望来","ｲﾜﾀ ﾐﾗｲ","Mirai Iwata",栗東,25,2000. 5.31,2019,8,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 95- 61- 74-441(671)",95,61,74,441,671,14.2,23.2,34.3,601-511-541-3660(5313),601,511,541,3660,5313,11.3,20.9,31.1,01174,現役,0,0.0,0.0,,,8
131,今村聖奈,"今村 聖奈","ｲﾏﾑﾗ ｾｲﾅ","Seina Imamura",栗東,22,2003.11.28,2022,5,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 22- 18- 16-287(343)",22,18,16,287,343,6.4,11.7,16.3,104-105-101-1317(1627),104,105,101,1317,1627,6.4,12.8,19.1,01193,現役,0,0.0,0.0,,,49
132,井上敏樹,"井上 敏樹","ｲﾉｳｴ ﾄｼｷ","Toshiki Inoue",栗東,31,1994.12. 5,2014,13,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  0-  0-  1- 18( 19)",0,0,1,18,19,0.0,0.0,5.3," 68- 60-105-2158(2391)",68,60,105,2158,2391,2.8,5.4,9.7,01151,現役,0,,0.0,,,144
133,泉谷楓真,"泉谷 楓真","ｲｽﾞﾐﾔ ﾌｳﾏ","Fuma Izumiya",栗東,24,2001.12.18,2020,7,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,,"  6-  2- 13-104(125)",6,2,13,104,125,4.8,6.4,16.8,101-120-143-1752(2116),101,120,143,1752,2116,4.8,10.4,17.2,01182,現役,0,0.0,0.0,,,93
134,池添謙一,"池添 謙一","ｲｹｿﾞｴ ｹﾝｲﾁ","Kenichi Ikezoe",栗東,46,1979. 7.23,1998,29,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 37- 33- 32-298(400)",37,33,32,298,400,9.3,17.5,25.5,1436-1373-1300-11304(15413),1436,1373,1300,11304,15413,9.3,18.2,26.7,01032,現役,0,0.0,0.0,,,29
135,秋山稔樹,"秋山 稔樹","ｱｷﾔﾏ ﾄｼｷ","Toshiki Akiyama",栗東,24,2001. 9.12,2020,7,"  0-  0-  0-  0(  0)",0,0,0,0,0,,,," 11- 18- 15-297(341)",11,18,15,297,341,3.2,8.5,12.9,107-120-132-2164(2523),107,120,132,2164,2523,4.2,9.0,14.2,01181,現役,0,0.0,0.0,,,76
136,渡辺修一,"渡辺 修一","ﾜﾀﾅﾍﾞ ｼｭｳｲﾁ",,美浦,76,1949. 9.28,,,,,,,,,,,,,,,,,,,,,,66,68,73,409,616,10.7,21.8,33.6,00326,抹消,0,,,,,
137,渡部秀一,"渡部 秀一","ﾜﾀﾅﾍﾞ ｼﾕｳｲﾁ","Syuihci Watanabe",美浦,71,1955. 2.14,,,,,,,,,,,,,,,,,,,,,,43,62,88,560,753,5.7,13.9,25.6,00358,抹消,0,,,,,
138,吉永護　,"吉永 護","ﾖｼﾅｶﾞ ﾏﾓﾙ","Mamoru Yoshinaga",美浦,52,1973.11.16,,,,,,,,,,,,,,,,,,,,,,174,203,205,3256,3838,4.5,9.8,15.2,00716,抹消,0,,,,,
139,吉永正人,"吉永 正人","ﾖｼﾅｶﾞ ﾏｻﾄ",M.Yoshinaga,美浦,84,1941.10.18,,,,,,,,,,,,,,,,,,,,,,461,384,321,1587,2753,16.7,30.7,42.4,00322,抹消,0,,,,,
140,吉沢宗一,"吉沢 宗一","ﾖｼｻﾞﾜ ｿｳｲﾁ","Soichi Yoshizawa",美浦,75,1951. 2. 8,,,,,,,,,,,,,,,,,,,,,,364,366,364,2706,3800,9.6,19.2,28.8,00339,抹消,0,,,,,
141,横山義行,"横山 義行","ﾖｺﾔﾏ ﾖｼﾕｷ","Yoshiyuki Yokoyama",美浦,51,1974. 3.19,,,,,,,,,,,,,,,,,,,,,,242,231,272,3598,4343,5.6,10.9,17.2,00715,抹消,0,,,,,
142,横山賀一,"横山 賀一","ﾖｺﾔﾏ ﾖｼｶｽﾞ","Yoshikazu Yokoyama",美浦,59,1966.12.28,,,,,,,,,,,,,,,,,,,,,,211,274,229,2632,3346,6.3,14.5,21.3,00717,抹消,0,,,,,
